target,Treatment,sex,ID,log_fold_change
HDAC7,ecig0,f,20,0.3862183537249342
HDAC7,ecig3,f,21,0.21644923654627768
HDAC7,ecig3,f,22,0.5620485292482854
HDAC7,ecig3,f,23,0.5490897899949426
HDAC7,ecig3,f,24,0.41232794957485375
HDAC7,ecig6,f,25,-0.30115329755020553
HDAC7,ecig6,f,26,-0.0656279105906981
HDAC7,ecig6,f,27,0.01763024313805612
HNF4A,control,m,2,-0.6734567203435674
HNF4A,control,m,3,-0.20706282025147796
HNF4A,control,m,4,-0.6252346049261546
HNF4A,ecig0,m,5,0.9226208733166232
HNF4A,ecig0,m,6,1.4016556249866337
HNF4A,ecig0,m,7,0.6224604328981165
HNF4A,ecig3,m,8,-0.13376605010924136
HNF4A,ecig3,m,9,-0.8733967494556423
HNF4A,ecig3,m,10,-0.09204329271021237
HNF4A,ecig3,m,11,-0.7774885928370978
HNF4A,ecig6,m,12,0.1136824727125256
HNF4A,ecig6,m,13,0.020939947528383348
HNF4A,ecig6,m,14,0.5358017841323428
HNF4A,control,f,15,0
HNF4A,control,f,16,-0.5569941152090874
HNF4A,control,f,17,-0.7239414374143871
HNF4A,ecig0,f,18,0.4953028942836865
HNF4A,ecig0,f,19,0.33648145536934126
HNF4A,ecig0,f,20,0.5230054806646603
HNF4A,ecig3,f,21,0.1836493092487253
HNF4A,ecig3,f,22,-0.587832470848894
HNF4A,ecig3,f,23,-0.7296910501255708
HNF4A,ecig3,f,24,-0.023603822166008866
HNF4A,ecig6,f,25,-0.5102204357188135
HNF4A,ecig6,f,26,-0.2634624155011007
HNF4A,ecig6,f,27,2.0752027747409
ITGB3BP,control,m,2,-0.07072181976532677
ITGB3BP,control,m,3,0.23742482602614706
ITGB3BP,control,m,4,0.03476914511718849
ITGB3BP,ecig0,m,5,0.09849316139731144
ITGB3BP,ecig0,m,6,-0.005956420318203632
ITGB3BP,ecig0,m,7,-0.7851516124067207
ITGB3BP,ecig3,m,8,-0.015758077389021526
ITGB3BP,ecig3,m,9,-0.04646313694674767
ITGB3BP,ecig3,m,10,-0.14953580746209422
ITGB3BP,ecig3,m,11,-0.12184104786100829
ITGB3BP,ecig6,m,12,0.3794633610342321
ITGB3BP,ecig6,m,13,-0.6463935818793823
ITGB3BP,ecig6,m,14,0.4441417628126077
ITGB3BP,control,f,15,0
ITGB3BP,control,f,16,-0.2634049789779284
ITGB3BP,control,f,17,-0.27446421895863177
ITGB3BP,ecig0,f,18,0.1819424089673122
ITGB3BP,ecig0,f,19,-0.4160450679613102
ITGB3BP,ecig0,f,20,0.03771231538479409
ITGB3BP,ecig3,f,21,0.0243318933135245
ITGB3BP,ecig3,f,22,-0.07747705328002502
ITGB3BP,ecig3,f,23,-0.7337212397075211
ITGB3BP,ecig3,f,24,-0.1973288347236848
ITGB3BP,ecig6,f,25,-0.2534367319075119
ITGB3BP,ecig6,f,26,-0.19635018620778152
ITGB3BP,ecig6,f,27,-0.2337376300212563
KAT2B,control,m,2,-0.07164026228209842
KAT2B,control,m,3,0.2532909129776119
KAT2B,control,m,4,0.17592180905403268
